film_id,category,number_of_times_in_rental
1,Documentary,8
2,Horror,3
3,Documentary,4
4,Horror,7
5,Family,3
6,Foreign,6
7,Comedy,5
8,Horror,4
9,Horror,5
10,Sports,7
11,Foreign,7
12,Music,7
13,Horror,4
14,Classics,0
15,Foreign,6
16,Foreign,4
17,Music,6
18,Animation,6
19,Action,6
20,Music,3
21,Action,6
22,New,7
23,Animation,5
24,Horror,4
25,New,6
26,Sci-Fi,5
27,Sports,4
28,Comedy,3
29,Action,2
30,Horror,2
31,Family,8
32,New,2
33,Drama,0
34,Horror,4
35,Horror,7
36,Animation,0
37,Classics,7
38,Action,0
39,Sci-Fi,7
40,Documentary,4
41,Travel,0
42,Sports,4
43,Family,7
44,Sci-Fi,5
45,New,6
46,Games,3
47,Foreign,2
48,Children,4
49,Sci-Fi,6
50,Family,5
51,Music,6
52,Foreign,2
53,Family,2
54,Music,5
55,Sci-Fi,6
56,Action,5
57,Travel,7
58,Documentary,4
59,Children,5
60,Classics,3
61,Drama,6
62,Documentary,2
63,Family,4
64,Drama,3
65,Horror,4
66,Children,3
67,Action,6
68,Children,4
69,Sci-Fi,8
70,Animation,4
71,Family,4
72,Documentary,6
73,Sci-Fi,8
74,Music,5
75,Travel,3
76,Music,3
77,New,6
78,Animation,7
79,Drama,6
80,Family,4
81,Sci-Fi,4
82,Family,2
83,Family,5
84,Travel,4
85,Documentary,4
86,Music,8
87,Travel,0
88,Travel,4
89,Animation,6
90,New,6
91,Classics,8
92,Horror,4
93,New,3
94,Family,2
95,New,5
96,New,3
97,Action,6
98,Drama,3
99,Comedy,6
100,Foreign,6
101,Documentary,6
102,Sports,2
103,Travel,8
104,Foreign,3
105,Action,5
106,Games,2
107,Drama,2
108,New,0
109,New,8
110,Children,4
111,Action,4
112,Foreign,7
113,Sports,4
114,Sci-Fi,7
115,Action,7
116,Classics,6
117,Games,6
118,Animation,6
119,Comedy,7
120,Sports,3
121,Animation,6
122,Horror,7
123,Travel,5
124,Children,3
125,Travel,2
126,Action,3
127,Comedy,8
128,Foreign,0
129,Documentary,6
130,Action,6
131,Classics,6
132,Sci-Fi,6
133,Music,4
134,Animation,3
135,Sports,7
136,New,3
137,Sci-Fi,4
138,Sci-Fi,5
139,Family,6
140,Sci-Fi,5
141,Games,5
142,Documentary,5
143,Drama,7
144,New,0
145,Family,3
146,Drama,3
147,Family,6
148,Foreign,0
149,Children,6
150,Documentary,6
151,Sci-Fi,4
152,Children,4
153,Sci-Fi,4
154,Animation,7
155,New,5
156,Documentary,2
157,Children,3
158,Music,5
159,Comedy,7
160,Animation,5
161,Music,2
162,Action,7
163,New,3
164,Documentary,5
165,Sci-Fi,5
166,Classics,6
167,Travel,7
168,Children,2
169,Travel,4
170,Foreign,6
171,Horror,0
172,Drama,7
173,Drama,5
174,Music,8
175,Family,5
176,Sports,6
177,Sci-Fi,3
178,Comedy,2
179,Drama,4
180,Classics,2
181,Travel,7
182,Comedy,2
183,Family,6
184,Classics,5
185,Foreign,2
186,Drama,4
187,Sports,3
188,Comedy,3
189,Games,6
190,Classics,4
191,Children,6
192,Foreign,0
193,Animation,8
194,Action,4
195,Sci-Fi,0
196,Classics,2
197,Sports,2
198,Foreign,0
199,Documentary,8
200,Games,8
201,Foreign,4
202,Comedy,3
203,Sci-Fi,4
204,Drama,6
205,Action,4
206,Documentary,8
207,Foreign,4
208,Animation,3
209,Drama,4
210,Action,3
211,Games,2
212,Action,5
213,Family,4
214,Children,4
215,Games,6
216,New,5
217,Games,0
218,Drama,7
219,Documentary,4
220,Music,8
221,Documentary,0
222,Horror,6
223,Animation,2
224,Travel,2
225,Drama,3
226,New,5
227,Games,5
228,Classics,7
229,Action,4
230,Drama,2
231,Family,8
232,Games,5
233,Travel,6
234,Sci-Fi,7
235,Sci-Fi,6
236,Games,4
237,Sports,2
238,Children,2
239,Animation,8
240,Sci-Fi,3
241,Animation,4
242,Comedy,5
243,Animation,6
244,Music,7
245,Animation,7
246,Foreign,3
247,Comedy,7
248,Documentary,2
249,Classics,6
250,Action,4
251,New,5
252,Action,6
253,Action,6
254,Sports,5
255,Music,6
256,Sports,3
257,Travel,3
258,Horror,4
259,Animation,2
260,Sports,4
261,Documentary,2
262,Family,2
263,Sports,7
264,Games,2
265,Comedy,4
266,Classics,8
267,New,6
268,Animation,2
269,Family,6
270,New,7
271,Action,5
272,Drama,4
273,Family,7
274,Documentary,7
275,Horror,5
276,Comedy,4
277,Horror,3
278,Music,2
279,Sports,2
280,Children,6
281,Games,6
282,Drama,6
283,New,3
284,Music,7
285,Sci-Fi,7
286,Travel,5
287,Action,4
288,Travel,6
289,New,2
290,Foreign,3
291,Sports,4
292,Action,6
293,Sports,5
294,Travel,5
295,Documentary,8
296,Sci-Fi,4
297,Classics,2
298,Sci-Fi,5
299,Travel,4
300,Animation,6
301,Horror,8
302,Games,6
303,Action,6
304,Children,6
305,New,7
306,Games,3
307,Travel,6
308,Comedy,4
309,Family,6
310,Games,2
311,Foreign,7
312,Sci-Fi,3
313,Horror,6
314,Animation,6
315,Family,3
316,Games,2
317,Comedy,7
318,Action,0
319,Sci-Fi,7
320,New,7
321,New,4
322,Sports,6
323,Sports,4
324,Comedy,5
325,Animation,0
326,Animation,6
327,Action,6
328,Children,4
329,Action,6
330,Animation,7
331,Games,8
332,Comedy,0
333,Music,4
334,Horror,6
335,Comedy,2
336,Documentary,5
337,Foreign,4
338,Sci-Fi,3
339,Travel,3
340,New,2
341,Classics,8
342,Travel,4
343,Children,2
344,Children,5
345,Family,5
346,Classics,6
347,Travel,4
348,Family,4
349,Animation,7
350,Sci-Fi,8
351,Horror,6
352,Games,4
353,Foreign,6
354,Children,5
355,Animation,2
356,Children,8
357,Classics,4
358,Classics,8
359,Family,0
360,Action,4
361,Sports,8
362,Games,2
363,Music,6
364,New,3
365,Comedy,4
366,Drama,7
367,Sci-Fi,7
368,Drama,2
369,Sci-Fi,8
370,Children,5
371,Action,3
372,Sports,2
373,Children,5
374,Sci-Fi,7
375,Action,2
376,Foreign,7
377,Family,6
378,Music,8
379,Drama,4
380,Foreign,5
381,Games,5
382,Games,8
383,Sports,5
384,Music,3
385,Comedy,5
386,Travel,0
387,Games,6
388,Comedy,6
389,Sports,4
390,Sci-Fi,3
391,Family,7
392,Children,6
393,Documentary,2
394,Sci-Fi,4
395,Action,6
396,Drama,4
397,Sci-Fi,7
398,Music,4
399,Foreign,2
400,Documentary,2
401,Drama,2
402,Animation,6
403,Drama,8
404,Comedy,0
405,Travel,2
406,Games,6
407,Documentary,2
408,Games,7
409,Children,7
410,Comedy,5
411,Music,2
412,Documentary,8
413,Comedy,3
414,Foreign,6
415,Horror,6
416,Foreign,6
417,Action,6
418,Drama,8
419,Family,0
420,Sports,5
421,Foreign,4
422,Sci-Fi,2
423,Children,4
424,Children,5
425,Classics,2
426,Music,3
427,Documentary,4
428,Family,6
429,Sports,6
430,Animation,4
431,Foreign,3
432,Classics,5
433,Animation,6
434,Travel,8
435,Foreign,2
436,New,6
437,Family,6
438,Games,5
439,Drama,6
440,Foreign,4
441,Documentary,2
442,Family,3
443,Comedy,7
444,Comedy,8
445,Classics,6
446,Sports,4
447,Games,7
448,New,5
449,Sci-Fi,4
450,Children,7
451,Travel,5
452,Foreign,4
453,Sports,5
454,Music,2
455,Foreign,4
456,Animation,6
457,Documentary,6
458,Family,6
459,Foreign,2
460,Foreign,8
461,Animation,6
462,Music,5
463,Sports,5
464,Animation,7
465,New,5
466,Documentary,2
467,Foreign,7
468,Children,8
469,Classics,3
470,Animation,2
471,Classics,7
472,Travel,2
473,Drama,5
474,Sports,4
475,Horror,2
476,Family,7
477,Music,3
478,Comedy,5
479,Family,5
480,Classics,4
481,New,6
482,Classics,3
483,Games,5
484,Classics,7
485,Children,3
486,Foreign,6
487,Classics,3
488,Sports,5
489,Animation,8
490,New,2
491,Children,6
492,New,2
493,Foreign,3
494,Horror,6
495,Horror,0
496,Travel,5
497,Documentary,0
498,Family,2
499,Family,2
500,Foreign,8
501,Action,5
502,Comedy,7
503,Sports,3
504,Drama,6
505,Children,4
506,Horror,6
507,Games,2
508,Games,3
509,Children,3
510,Animation,4
511,Action,5
512,Classics,6
513,Travel,2
514,Drama,6
515,Children,2
516,Music,3
517,Sports,2
518,Travel,6
519,Sports,4
520,Sci-Fi,2
521,Drama,7
522,Comedy,2
523,Classics,2
524,Comedy,6
525,Classics,8
526,Travel,4
527,Horror,6
528,Family,3
529,Comedy,4
530,Action,3
531,Foreign,8
532,Sports,4
533,Foreign,3
534,Family,5
535,Horror,4
536,Classics,5
537,Classics,3
538,New,3
539,Drama,2
540,Music,3
541,Animation,2
542,Action,6
543,Travel,2
544,Documentary,4
545,Foreign,6
546,Games,4
547,Children,2
548,Classics,2
549,Action,4
550,Family,3
551,New,6
552,Documentary,4
553,Children,3
554,Classics,7
555,Comedy,7
556,Games,7
557,Family,5
558,New,2
559,Sci-Fi,8
560,Games,5
561,New,4
562,Music,6
563,Games,7
564,Animation,3
565,Foreign,2
566,Foreign,2
567,Foreign,4
568,Comedy,4
569,Animation,2
570,Sports,5
571,Documentary,6
572,Sci-Fi,8
573,Children,4
574,Action,5
575,Documentary,6
576,Documentary,3
577,Sports,3
578,Classics,5
579,Action,7
580,New,6
581,Music,3
582,Animation,2
583,Animation,5
584,Foreign,2
585,Drama,4
586,Action,8
587,Documentary,3
588,Children,4
589,Documentary,4
590,New,7
591,Games,3
592,Music,4
593,Horror,4
594,Action,3
595,Foreign,8
596,Games,6
597,Games,4
598,Sports,4
599,Sports,5
600,Horror,4
601,Travel,5
602,Sci-Fi,5
603,Family,6
604,Comedy,3
605,Foreign,2
606,Sports,6
607,Foreign,0
608,Children,6
609,Travel,8
610,Family,5
611,Classics,6
612,Sports,2
613,Comedy,2
614,Games,6
615,Animation,4
616,Documentary,6
617,Family,3
618,Drama,4
619,Sports,6
620,Sci-Fi,5
621,Family,8
622,Documentary,2
623,Foreign,5
624,Games,7
625,Sci-Fi,7
626,Children,4
627,Documentary,3
628,Sports,5
629,Documentary,4
630,Drama,3
631,Sports,5
632,New,3
633,Classics,3
634,Family,4
635,New,2
636,Music,3
637,Sci-Fi,5
638,Comedy,8
639,Family,3
640,Foreign,3
641,Foreign,7
642,Travel,0
643,Drama,6
644,Animation,7
645,Travel,6
646,Games,5
647,Music,6
648,Travel,6
649,Animation,6
650,Documentary,6
651,Animation,6
652,Classics,4
653,Horror,2
654,Games,4
655,Sci-Fi,6
656,Travel,2
657,Comedy,6
658,Horror,4
659,Action,2
660,Comedy,4
661,Foreign,4
662,Drama,4
663,Classics,5
664,Action,5
665,Horror,7
666,Drama,5
667,Sports,4
668,Sports,5
669,Foreign,0
670,Documentary,7
671,Sports,0
672,Comedy,6
673,Music,4
674,Foreign,3
675,New,2
676,Sports,6
677,New,7
678,Sports,4
679,Family,4
680,Comedy,6
681,Sports,6
682,Family,3
683,Drama,8
684,Games,2
685,New,2
686,New,4
687,Documentary,7
688,Children,4
689,Foreign,6
690,Animation,6
691,Sports,5
692,Animation,3
693,Animation,5
694,Classics,6
695,Family,2
696,Animation,5
697,Action,8
698,Documentary,7
699,Games,2
700,Family,3
701,Games,0
702,Horror,8
703,Animation,2
704,Comedy,5
705,Foreign,4
706,Drama,6
707,Action,6
708,Documentary,4
709,Drama,6
710,Family,6
711,Sci-Fi,4
712,Documentary,0
713,Documentary,0
714,Sci-Fi,3
715,Family,7
716,Horror,5
717,Action,4
718,Music,2
719,Sports,2
720,New,7
721,Music,2
722,Horror,4
723,Sci-Fi,7
724,Family,6
725,Classics,6
726,Foreign,3
727,Family,5
728,Drama,5
729,Sports,4
730,New,8
731,Classics,3
732,Action,4
733,Sports,7
734,Documentary,6
735,Children,7
736,Family,4
737,Horror,6
738,Foreign,8
739,Drama,5
740,Horror,3
741,Music,6
742,Games,0
743,Animation,6
744,Classics,5
745,Sports,8
746,Games,5
747,Games,5
748,Action,8
749,Horror,4
750,New,3
751,New,2
752,Music,3
753,Family,8
754,Comedy,2
755,Children,7
756,Comedy,3
757,Documentary,5
758,Drama,3
759,New,6
760,New,7
761,Children,3
762,Games,4
763,Sports,5
764,Sports,8
765,Comedy,4
766,Drama,3
767,Music,8
768,Children,6
769,Foreign,2
770,Foreign,3
771,Drama,7
772,Drama,6
773,Sports,8
774,Comedy,4
775,Drama,5
776,Documentary,5
777,Sports,6
778,Family,6
779,Sports,2
780,Family,3
781,Games,2
782,Sports,6
783,Travel,4
784,Travel,6
785,Travel,6
786,Children,7
787,Travel,3
788,Documentary,4
789,Foreign,8
790,Drama,7
791,Documentary,6
792,Foreign,3
793,Action,4
794,Action,4
795,Family,4
796,Sports,5
797,Music,5
798,Sci-Fi,4
799,Horror,2
800,Horror,6
801,Children,0
802,Action,0
803,Drama,6
804,Horror,7
805,Animation,5
806,New,5
807,Games,5
808,Classics,2
809,Sports,4
810,Family,7
811,Travel,3
812,Documentary,6
813,Sports,4
814,Comedy,7
815,Classics,3
816,Animation,7
817,Sci-Fi,2
818,Drama,5
819,Music,3
820,Animation,6
821,Foreign,4
822,Family,2
823,Action,7
824,Family,4
825,Action,3
826,Travel,2
827,Drama,6
828,Classics,4
829,Family,5
830,Horror,4
831,Sci-Fi,3
832,Family,4
833,Children,7
834,Documentary,3
835,Games,8
836,Sports,3
837,Comedy,3
838,Action,6
839,Sci-Fi,2
840,Games,4
841,Sports,7
842,Games,4
843,Classics,7
844,Sports,4
845,Foreign,7
846,New,8
847,New,4
848,Travel,3
849,Animation,8
850,Action,7
851,Sports,6
852,Children,7
853,Children,3
854,Horror,4
